InstanceCount, QoS, Delay, Subscription QoS, Rate of messages, Message Loss, Out of order messages, median inter message gaps, $SYS/broker/load/messages/received/1min, $SYS/broker/load/messages/sent/1min, $SYS/broker/clients/connected, $SYS/broker/load/publish/dropped/1min
4,1,2,1,1308.0,-Infinity,0.06116207951070336,2,162508.62,349433.02,7,0.05
4,1,4,1,976.6,-Infinity,0.08191685439279131,2,140398.07,306195.75,7,0.05
4,2,0,1,1346.2,-Infinity,0.059426533947407524,2,120033.21,264327.04,7,0.05
4,2,1,1,2506.2,-Infinity,0.031920836325911736,2,130290.19,280763.40,7,0.05
4,2,2,1,1308.4,-Infinity,0.06114338122898196,2,126336.17,269454.42,7,0.05
4,2,4,1,738.8,-Infinity,0.10828370330265295,2,113732.19,241418.86,7,0.05
5,0,0,1,6109.0,-Infinity,0.01636929120969062,2,148436.87,308477.93,7,0.05
5,0,1,1,48823.2,-Infinity,4.09641318061905E-4,2,247769.86,505181.81,7,0.05
5,0,2,1,3468.8,-Infinity,0.07495387453874539,2,218493.05,444995.69,7,0.05
5,0,4,1,1839.0,-Infinity,0.0543773790103317,2,218493.05,444995.69,7,0.05
5,1,0,1,1690.2,-Infinity,0.05916459590580997,2,186419.82,379473.74,7,0.05
5,1,1,1,1987.2,-Infinity,0.050322061191626404,2,170917.31,363042.73,7,0.05
5,1,2,1,1358.4,-Infinity,0.07361601884570082,2,150205.07,325946.25,7,0.05
5,1,4,1,1037.0,-Infinity,0.09643201542912247,2,131134.96,289581.66,7,0.05
5,2,0,1,1522.6,-Infinity,0.06567713122290818,2,113078.29,252761.90,7,0.05
5,2,1,1,2746.2,-Infinity,0.03641395382710654,2,128954.51,280039.42,7,0.05
5,2,2,1,1827.0,-Infinity,0.05473453749315819,2,126559.13,271524.26,7,0.05
5,2,4,1,526.4,-Infinity,0.1899696048632219,2,114794.02,244891.68,7,0.05
1,0,0,2,3304.2,-Infinity,0.0060529023666848255,0,145891.77,304508.14,7,0.05
1,0,1,2,5428.0,-Infinity,0.0036845983787767134,0,137234.74,285045.23,7,0.05
1,0,2,2,695.6,-Infinity,0.02875215641173088,1,137234.74,285045.23,7,0.05
1,0,4,2,355.2,-Infinity,0.05630630630630631,2,116265.88,241317.71,7,0.05
1,1,0,2,749.2,-Infinity,0.02668801708033093,1,97830.95,202946.87,7,0.05
1,1,1,2,775.4,-Infinity,0.025793139025019347,1,105119.73,204463.66,7,0.05
1,1,2,2,420.0,-Infinity,0.047619047619047616,1,92097.90,177092.32,7,0.05
1,1,4,2,279.4,-Infinity,0.07158196134574087,2,79719.61,152000.70,7,0.05
1,2,0,2,471.8,-Infinity,0.0423908435777872,2,72880.42,135509.74,7,0.05
1,2,1,2,428.4,-Infinity,0.04668534080298786,2,77589.19,135368.62,7,0.05
1,2,2,2,300.0,-Infinity,0.06666666666666667,2,70371.35,120396.40,7,0.05
1,2,4,2,219.2,-Infinity,0.09124087591240876,2,62136.82,104966.34,7,0.05
2,0,0,2,8863.0,-Infinity,0.00451304269338388,2,160457.14,304468.35,7,0.05
2,0,1,2,16935.2,-Infinity,0.002361944352591053,2,160457.14,304468.35,7,0.05
2,0,2,2,1384.6,-Infinity,0.02888920988010978,2,154628.60,295547.84,7,0.05
2,0,4,2,700.0,-Infinity,0.05714285714285715,2,132622.82,253803.49,7,0.05
2,1,0,2,1291.6,-Infinity,0.03096934035305048,2,112410.05,215280.93,7,0.05
2,1,1,2,894.0,-Infinity,0.0447427293064877,2,128096.69,230991.63,7,0.05
2,1,2,2,558.4,-Infinity,0.07163323782234957,2,115606.22,205746.93,7,0.05
2,1,4,2,497.4,-Infinity,0.08041817450743868,2,103094.66,181562.29,7,0.05
2,2,0,2,947.4,-Infinity,0.04222081486172683,2,103250.28,174866.40,7,0.05
2,2,1,2,1114.2,-Infinity,0.03590019745108598,2,114796.35,184029.92,7,0.05
2,2,2,2,395.8,-Infinity,0.1010611419909045,2,104834.41,165558.98,7,0.05
2,2,4,2,327.2,-Infinity,0.12224938875305623,2,92205.75,144402.10,7,0.05
3,0,0,2,6605.4,-Infinity,0.009083202131524767,2,169263.98,305173.91,7,0.05
3,0,1,2,31952.0,-Infinity,0.0018778167250876315,2,169263.98,305173.91,7,0.05
3,0,2,2,2072.4,-Infinity,0.028951939779965255,2,219016.34,410231.03,7,0.05
3,0,4,2,1056.4,-Infinity,0.05679666792881485,2,188211.37,353264.42,7,0.05
3,1,0,2,2105.0,-Infinity,0.028503562945368172,2,159664.65,300036.51,7,0.05
3,1,1,2,2944.2,-Infinity,0.02037905033625433,2,155974.40,284357.91,7,0.05
3,1,2,2,980.2,-Infinity,0.0612119975515201,2,141191.57,253742.72,7,0.05
3,1,4,2,728.2,-Infinity,0.08239494644328481,2,126550.53,224749.13,7,0.05
3,2,0,2,1181.8,-Infinity,0.0507700118463361,2,129290.74,219499.07,7,0.05
3,2,1,2,1208.6,-Infinity,0.04964421644878371,2,134403.46,218424.12,7,0.05
3,2,2,2,519.2,-Infinity,0.11556240369799693,2,122884.02,196497.06,7,0.05
3,2,4,2,459.8,-Infinity,0.13049151805132667,2,109046.46,172573.56,7,0.05
4,0,0,2,6572.6,-Infinity,0.012171743297933846,2,206868.73,375830.22,7,0.05
