InstanceCount, QoS, Delay, Subscription QoS, Rate of messages, Message Loss, Out of order messages, median inter message gaps, $SYS/broker/load/messages/received/1min, $SYS/broker/load/messages/sent/1min, $SYS/broker/clients/connected, $SYS/broker/load/publish/dropped/1min
4,2,2,1,880.9,-Infinity,0.0681121580202066,2,124563.87,194441.25,7,0.05
4,2,4,1,312.4,-Infinity,0.09603072983354673,2,105148.27,163808.45,7,0.05
5,0,0,1,22340.7,-Infinity,0.0031332948385681737,2,0,0,0,0
5,0,1,1,5219.7,-Infinity,0.007663275667183938,2,265842.28,501536.16,7,0.05
5,0,2,1,2053.8,-Infinity,0.019476093095724997,2,243141.03,461171.00,7,0.05
5,0,4,1,698.1,-Infinity,0.05729838132072769,2,180383.50,343354.59,7,0.05
5,1,0,1,2446.4,-Infinity,0.032701111837802485,2,190110.34,346024.99,7,0.05
5,1,1,1,1196.5,-Infinity,0.03343083994985374,2,163621.11,296092.95,7,0.05
5,1,2,1,1192.8,-Infinity,0.0335345405767941,2,152648.03,264085.65,7,0.05
5,1,4,1,570.4,-Infinity,0.07012622720897616,2,129796.27,223933.01,7,0.05
5,2,0,1,1663.4,-Infinity,0.0480942647589275,2,131865.79,219464.73,7,0.05
5,2,1,1,828.2,-Infinity,0.04829751267809708,2,129615.54,203070.85,7,0.05
5,2,2,1,882.4,-Infinity,0.09066183136899365,2,133661.48,203402.83,7,0.05
5,2,4,1,553.5,-Infinity,0.07226738934056008,2,113978.28,169432.95,7,0.05
1,0,0,2,9990.5,-Infinity,0.005004754516790951,0,179717.17,310452.67,7,0.05
1,0,1,2,616.4,-Infinity,0.016223231667748216,0,156626.32,272461.25,7,0.05
1,0,2,2,481.4,-Infinity,0.02077274615704196,0,117372.49,206465.45,7,0.05
1,0,4,2,185.1,-Infinity,0.05402485143165856,1,98377.57,173199.00,7,0.05
1,1,0,2,1506.4,-Infinity,0.01327668613913967,1,98250.67,169238.03,7,0.05
1,1,1,2,442.2,-Infinity,0.022614201718679332,1,84279.98,141574.97,7,0.05
1,1,2,2,393.4,-Infinity,0.02541942043721403,1,77728.54,129206.92,7,0.05
1,1,4,2,163.6,-Infinity,0.061124694376528114,1,66488.14,110229.69,7,0.05
1,2,0,2,258.7,-Infinity,0.07730962504831851,1,0,0,0,0
1,2,1,2,136.0,-Infinity,0.07352941176470588,1,0,0,0,0
1,2,2,2,92.0,-Infinity,0.0,1,0,0,0,0
1,2,4,2,209.7,-Infinity,0.09537434430138292,1,46955.50,70104.62,7,4571.09
2,0,0,2,21139.7,-Infinity,9.460872197807915E-4,1,155192.29,288444.42,7,3805.39
2,0,1,2,705.0,-Infinity,0.014184397163120567,1,179504.69,343795.28,7,2637.29
2,0,2,2,499.5,-Infinity,0.02002002002002002,1,154315.06,295949.91,7,2195.52
2,0,4,2,184.8,-Infinity,0.05411255411255411,1,129216.89,247863.01,7,1827.75
2,1,0,2,1436.2,-Infinity,0.01392563709789723,1,116066.57,212256.78,7,1266.70
2,1,1,2,440.6,-Infinity,0.022696323195642305,1,98836.36,180017.55,7,1054.52
2,1,2,2,351.0,-Infinity,0.028490028490028487,1,90768.50,162593.33,7,877.88
2,1,4,2,149.6,-Infinity,0.06684491978609625,1,67775.87,119991.47,7,608.40
2,2,0,2,527.7,-Infinity,0.037900322152738294,1,72474.44,120877.35,7,827.20
2,2,1,2,310.7,-Infinity,0.0321853878339234,1,66306.17,103757.67,7,1141.48
2,2,2,2,295.1,-Infinity,0.033886818027787195,1,65775.19,99596.52,7,950.27
2,2,4,2,143.5,-Infinity,0.06968641114982578,2,55649.90,84030.61,7,791.09
3,0,0,2,28626.3,-Infinity,0.001047987340312929,2,297120.07,572086.42,7,548.26
3,0,1,2,1427.4,-Infinity,0.014011489421325487,1,252007.65,485557.91,7,456.42
3,0,2,2,986.9,-Infinity,0.02026547775863816,1,222578.32,429777.33,7,379.96
3,0,4,2,368.8,-Infinity,0.05422993492407809,2,160568.32,310468.72,7,263.33
3,1,0,2,1884.3,-Infinity,0.021228042243804066,2,162307.50,301937.38,7,219.22
3,1,1,2,739.5,-Infinity,0.027045300878972278,2,141952.94,261578.71,7,182.50
3,1,2,2,694.1,-Infinity,0.028814291888776836,2,122215.88,217044.40,7,126.48
3,1,4,2,311.3,-Infinity,0.064246707356248,2,102511.98,181835.93,7,105.29
3,2,0,2,1711.4,-Infinity,0.02337267734018932,2,134634.92,206556.28,7,72.97
3,2,1,2,52.8,-Infinity,0.3787878787878788,2,0,0,0,0
3,2,2,2,46.0,-Infinity,0.0,2,0,0,0,0
3,2,4,2,92.0,-Infinity,0.10869565217391304,2,0,0,0,0
4,0,0,2,2773.1,-Infinity,0.010818217878908081,2,0,0,0,0
4,0,1,2,2170.8,-Infinity,0.013819789939192924,2,0,0,0,0
4,0,2,2,1425.0,-Infinity,0.021052631578947368,2,0,0,0,0
4,0,4,2,578.9,-Infinity,0.05182242183451373,2,0,0,0,0
4,1,0,2,0.2,-Infinity,0.0,2,0,0,0,0
4,1,1,2,0.0,NaN,NaN,2,0,0,0,0
4,1,2,2,0.0,NaN,NaN,2,0,0,0,0
4,1,4,2,0.0,NaN,NaN,2,0,0,0,0
4,2,0,2,0.0,NaN,NaN,2,0,0,0,0
4,2,1,2,0.0,NaN,NaN,2,0,0,0,0
4,2,2,2,0.0,NaN,NaN,2,0,0,0,0
4,2,4,2,0.0,NaN,NaN,2,0,0,0,0
5,0,0,2,21198.6,-Infinity,0.0033021048559810553,2,0,0,0,0
5,0,1,2,2958.3,-Infinity,0.013521279113004091,2,0,0,0,0
5,0,2,2,1857.2,-Infinity,0.021537798836958864,2,0,0,0,0
5,0,4,2,800.8,-Infinity,0.04995004995004995,2,0,0,0,0
5,1,0,2,0.0,NaN,NaN,2,0,0,0,0
5,1,1,2,0.0,NaN,NaN,2,0,0,0,0
5,1,2,2,0.0,NaN,NaN,2,0,0,0,0
5,1,4,2,0.0,NaN,NaN,2,0,0,0,0
5,2,0,2,0.0,NaN,NaN,2,0,0,0,0
5,2,1,2,0.0,NaN,NaN,2,0,0,0,0
5,2,2,2,0.0,NaN,NaN,2,0,0,0,0
5,2,4,2,0.0,NaN,NaN,2,0,0,0,0
